access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,construction,covered,culvert,cutting,denomination,disused,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tracktype,tunnel,water,waterway,wetland,wood
no culvert,8,cable_car,helipad,police,no,seats,private,y,undefined,SPOTMaps extract,house,unclassified,y,yes,no,catholic,ferry,no,footway,hydro,,rivière,monument,unknown,e,undefined,2,track,yes,symbol,naval_base,unknown,trees_row,administrative,1,ARMAS,continent,cable,biofuel,platform,historical_planned,christian,piste,Ruelle (entre bâtiments principalement)0,dive,model_aerodrome,undefined,no,caravan_site,communication,Track tp Tashinga Camping Ground,passage,wadi,unclassified,yes,yes
hgv,9,chair_lift,model_runway,nightclub,1,tertiarywood,<allowed>,yes,movable,proposed,unclassified,motorway,yes,,right,El Palmeral,no,y,official,solar,,track;service,ruins,private,yrd,jughandle,military,stadium,,dike,,forestry,cladera,INCT (Algeria) - Institut National de Cartographie et de Téledetection,no; yes,EDC,hamlet,substation,,station,narrow_gauge,Church Pentecontist,2,entree,leather,survey,2,yes,yes,residential,Track,2,riverbank,intermittent2,swamp,tree
military,2,drag_lift,apron,parking_entrance,yes,block,ye,PDV,culvert,"EO-1 USGS 2002-09-25 ""Zintan""",track,light_rail,no,,left,Las Coronas,yes,yea,```,wind,,motorway,palace,permissive,dry,-1,reservoir,park,,outline,exclusion_zone,private,wetland,ngo,reversible,CapeNature,province,generator,,platfrom,light_rail,muslim,tracks,Parking_aisle,o,tennis,unpaved;cobblestone,true,hotel,bell_tower,grade3; grade5,culvert,culvert,proposed,mangrove,coniferous
no|no,4; 8,gondola,model_aerodrome_runway,hospital,highway,x,official,YPF,collapsed,local_authority,greenhouse,trunk,building_arcade,,yes,Playa Roca,subway,left,permissive,,,abandoned,citywalls,designated,es,roundabout,village_green,pitch,,shipyard,range,agricultural,old_coastline_import,,yes,SENELEC,archipelago,minor_line,,publico,proposed,,detour,access,supermarket,horse_racing,UNpaved,,artwork,water tower,undefined,Culvert,canal,River,bog,mixed
emergencies; delivery,5,goods,airstrip,drop-off,paved,dry_bush,permissive,,pontoon,civil,church,tertiary,arcade,,,protestant,,yes,critical,,,raceway,archaeological_site,prohibited,YES,yes,religious,tree row,,water_canal,,official,glacier,,no;yes,Scota,islet,busbar,,stop_area,abandoned,,foot,Canal_Service_Road,yes,footing,unpaved; dirt,,attraction,termination,grade5,MAGARAMA_--_GISWAHIRI,river,aquaduct,marsh,Mata_Atlântica
asfalto,-1,mixed_lift,clearway,parking_space,0.000000000,entrance,no,,low_water_crossing,protected_area,apartments,Koloko Drive,colonnade,,,residential,,lake,no,,,access,wreck,home,true,Entrada desde Avenida Bolivariana,garden,water_slide,,bridge,,permissive,coastline,,-1,Egged,valley,station,,Transporte publico,dismantled,,Ligne 147 Manga,crossover,mall,motor,Graded Soil,,pier,,2,cul,reservoir,wadi,tidalflat,deciduous
designated,3,t-bar,runway,public_building,construction,line,destination,,abandoned,conflict,hospital,motorway_link,,,,sunni,,false,destination,,,motorway_link,road,no;yes,yes^,mini_roundabout,commercial,swimming_pool,,water_well,,designated,reef,,no,NPA,village,pole,,,rail,,bicycle,Caminho da Lagoa,,motocross,paved; unpaved,,ground_sign,,grade4; type4,building_passage,stream,stream,,
psv,was 6,zip_line,parking_position,wall,,No through way,why not,,don't know,archipelago,hangar,line,,,,PR-180,,,allowed,,,primary;trunk,meteor_crater,unbekannt,no,approach,common,garden,,goods_conveyor,,no,volcano,,yes;-1,Kei Rail,quarter,line,,,station,,boat,irrigation,,soccer,re,,viewpoint,,],avalanche_protector,pond,riverbank,,
prohibited,7,tyrolean_traverse,yes,petrol_station,,grillage,mtb,,no,EO-1 2003-05-25,A.C.M.E,bridge,,,,jehovahs_witness,,,Yes,,,steps,bridge,no,Yes,tertiary,landfill,climbing,,oven,,restricted,scrub,,Michay,Tanzania National Parks Authority,suburb,tower,,,preserved,,bus,slipway,,equestrian,under construction,,TILAG,,grade0,rail,dam,dock,,
wall,6,yes,blast_pad,school,,wood_fence,yes,,1,village,Hut,primary_link,,,,Estacionamientos,,,Permit Only,,,bridleway,aqueduct,destination,yess,Salida desde Glorieta hacia Av. Bolivariana Sur,un,water_sider,,earth_house,,destination,old_coasline_import,,2,pioneer Easybus,region,net,,,level_crossing,,railway,p,,via_ferrata,unpaved; paved,,tourism-attraction,,Final Track to PWMA Repeater,no,intermittent,un,,
