access,admin_level,aerialway,aeroway,amenity,area,barrier,bicycle,brand,bridge,boundary,building,capital,construction,covered,culvert,cutting,denomination,disused,ele,embankment,foot,generator:source,harbour,highway,historic,horse,intermittent,junction,landuse,leisure,lock,man_made,military,motorcar,natural,office,oneway,operator,place,poi,power,power_source,public_transport,railway,religion,route,service,shop,sport,surface,toll,tourism,tower:type,tunnel,water,waterway,wetland,wood
permissive,,,beacon,waste disposal,,stones,,SGBCI,,,R,,,,,,quaker,,2362,,,,,mini_roundabout,monastery,,,,salt_pond,common,,obelisk,,,valley,political_party,,Attijari Wafa Bank,village;hamlet,,,,,,catholic,,,photo_studio,squash,,,artwork,Torre funicular,,,soakhole,,
locked,,,runway,taxi,,city_wall,,BMW,,,school,,,,,,jehovahs_witness,,1067,,,,,culvert,manor,,,,industrial,rock climbing,,mill,,,rocks,physician,,tELEFONICA,state,,,,,,Cristiana,,,clothes,netball,,,winery,communication:mobile_phone=yes,,,turning_point,,
employee,,,station,toilets,,sally_port,,IDC,,,kindergarten,,,,,,pentecostal,,1278,,,,,trunk,boundary_stone,,,,basin,sports_centre,,cairn,,,peak,travel_agent,,Nigerian Postal Service,historical_state,,,,,,catolicismo,,,watches,karting,,,beach_resort,,,,wreck,,
gender:men,,,pylon,fire_station,,turnstile,,Volkswagen,,,static_caravan,,,,,,evangelical,,1915.0799999999999,,,,,tertiary,castle,,,,landfill,dog_park,,antena_radio,,,cape,quango,,Porto Santo Line,area,,,,,,Católica,,,baby_goods,rc_car,,,camp_site;hotel,,,,harbour,,
desconocido,,,,coworking_space,,kissing_gate,,Caltex,,,terrace,,,,,,lutheran,,2560,,,,,turning_loop,wreck,,,,brownfield,gambling,,communications_dish,,,canyon,financial,,Bank of Egypt,f,,,,,,,,,perfume,hockey,,,plage,,,,,,
foot=yes,,,,health_centre,,gate,,Nissan,,,kitchen,,,,,,Charismatic,,598,,,,,emergency_access_point,no,,,,cairn,bingo_hall,,adit,,,point,insurance,,CPHM,crowded,,,,,,,,,tourist,athletics,,,hotel,,,,,,
AR,,,,hammam,,speed_bump,,Société Générale,,,shed,,,,,,Muslim,,2510,,,,,crossing,fort,,,,cemetery,marina,,winery,,,coral_reef,lawyer,,Pizza Hut,quarter,,,,,,,,,organic,cricket_nets,,,alpine_hut,,,,,,
sim,,,,car_rental,,incline,,GOIL,,,Salle du Royaume,,,,,,ethiopian_orthodox_tewahedo,,1413,,,,,services,building,,,,Equipement,golf_course,,beehive,,,beach,transport,,Privés,isolated_dwelling,,,,,,,,,bed,water_sports,,,wine_cellar,,,,,,
,,,,shrine,,pipeline,,Station Service,,,train_station,,,,,,Ethiopian orthodox,,502,,,,,platform,meteor_crater,,,,greenfield,beach_resort,,buoy,,,heath,distribution_center,,United Nations Federal Credit Union,city,,,,,,,,,wordprocessing,motocross,,,bed_and_breakfast,,,,,,
,,,,binoculars,,border_post,,fuel station,,,garage,,,,,,Orthodox_Coptic_Christian,,1270.5195,,,,,give_way,aircraft,,,,farmyard,turkish_bath,,vehicle,,,sand,labor_union,,Telefonica,islolated_dwelling,,,,,,,,,shopping_centre,equestrian,,,self_catering,,,,,,
,,,,pub,,plant,,Audi,,,Hall,,,,,,Nederduitse Gereformeerde,,1547,,,,,incline,citywalls,,,,observatory,picnic_table,,ftp.chez-alice.fr,,,sea,religion,,Tabot Beekeepers,village_green,,,,,,,,,dairy,free_diving,,,wilderness_hut,,,,,,
,,,,atm,,spikes,,Puma Energy,,,public,,,,,,Assemblée de Dieu,,411,,,,,elevator,train,,,,gated_community,fishing,,communications_transponder,,,tree,seguridad,,Kenya Power Lighting Company,islet,,,,,,,,,shoe_repair,sailing,,,resort,,,,,,
,,,,baby_hatch,,kerb,,SP,,,Kitchen,,,,,,adventist,,712,,,,,service,stone,,,,aquaculture,firepit,,cattle_pen,,,peaks,coworking,,Tiger Wheel and Tyre,village,,,,,,,,,lottery,billards,,,aquarium,,,,,,
,,,,flood_light,,ditch,,Serrão,,,transportation,,,,,,sunni,,1004,,,,,yield,grave,,,,harbour,sport,,survey_point,,,hills,estudio de arquitectura,,Total Côte d'Ivoire,unclassifiedh,,,,,,,,,bicycle,skiing,,,tower,,,,,,
,,,,stripclub,,swing_gate,,Fuel Station,,,retail,,,,,,unspecified,,1828.5599999999999,,,,,path,,,,,conservation,club,,Stock Céréalier,,,plateau,register,,Thubu Mgloso,town,,,,,,,,,lamps,table_tennis,,,camping,,,,,,
,,,,boat_rental,,hedge,,Stanbic Bank,,,farm,,,,,,coptic_orthodox,,1140,,,,,turning_circle,,,,,,bandstand,,water_works,,,no,labour_union,,Pumangola,unknown,,,,,,,,,communication,skating,,,Hotel,,,,,,
,,,,bank,,full-height_turnstile,,Repsol,,,Toilet,,,,,,ethiopian_orthodox,,1995.3499999999999,,,,,traffic_signals,,,,,,sailing_club,,reservoir,,,dune,tax,,Ethiopian Commercial Bank,village;town,,,,,,,,,liquor,paintball,,,,,,,,,
,,,,internet_cafe,,bus_trap,,Station Total,,,apartments,,,,,,Interdenominational,,247,,,,,road,,,,,,ice_rink,,Maïné-Soroa,,,coast,notary,,Ayuntamiento Puerto del Rosario,river,,,,,,,,,tailor,free_flying,,,,,,,,,
,,,,express_cash,,drug_checkpoint,,Avis,,,industrial,,,,,,Islamic,,975,,,,,passing_place,,,,,,social_club,,water_wel,,,hill,software,,Mukinyai Primary School,protected_area,,,,,,,,,storage_rental,tennis,,,,,,,,,
,,,,recycling,,log,,NAFTAL,,,detached,,,,,,churches_of_god,,125,,,,,rest_area,,,,,,adult_gaming_centre,,watermill,,,plain,union,,Spur,,,,,,,,,,groceries,horse_racing,,,,,,,,,
,,,,show_grounds,,,,CPHM,,,government,,,,,,Apostolic,,1698.3099999999999,,,,,noexit,,,,,,recreation_ground,,communication_tower,,,waterhole,security_services,,Young African College,,,,,,,,,,apothecary,skateboard,,,,,,,,,
,,,,embassy,,,,CMH,,,bridge,,,,,,Christian,,1465,,,,,tunnel_entrance,,,,,,bowling_alley,,silos,,,sand dune,construcción,,Gesferpinta,,,,,,,,,,perfumery,fitness,,,,,,,,,
,,,,bicycle_rental,,,,Oryx,,,temple,,,,,,Sunni,,2310,,,,,pedestrian,,,,,,table,,borehole,,,reef,cooperative,,Petro,,,,,,,,,,water,surfing,,,,,,,,,
,,,,building,,,,OMV,,,classroom,,,,,,muslim,,1975.1700000000001,,,,,crossing;traffic_signals,,,,,,table_tennis_table,,oven,,,scrub,publisher,,LONATO,,,,,,,,,,medical_supply,basketball,,,,,,,,,
,,,,nursing_home,,,,Agapet,,,monastery,,,,,,latter_day_saints,,839,,,,,speed_camera;traffic_signals,,,,,,,,flare,,,volcano,surveyor,,Mwangi Michuki Primary School,,,,,,,,,,fabrics,badminton,,,,,,,,,
,,,,diving_center,,,,Petromin Oils,,,manufacture,,,,,,Ethiopian Orthodox,,951,,,,,living_street,,,,,,,,monitoring_station,,,mud,public,,Kenya Commercial Bank,,,,,,,,,,laundry,cycling,,,,,,,,,
,,,,Mission,,,,KCB,,,building,,,,,,mormon,,228,,,,,tr,,,,,,,,ford,,,crater,,,Ministry of Public Works,,,,,,,,,,haberdasher,canoe,,,,,,,,,
,,,,shower,,,,Petrol,,,maize mill,,,,,,greek_orthodox,,1090,,,,,traffic_signals;crossing,,,,,,,,communications_tower,,,cliff,,,CALTEX,,,,,,,,,,sports,Football,,,,,,,,,
,,,,parking_space,,,,Sogel-B,,,shop,,,,,,NG Church,,2368,,,,,traffic_sign,,,,,,,,flagpole,,,spring,,,Tanzania Electrical Supply Corporation,,,,,,,,,,trade,cricket,,,,,,,,,
,,,,driving_school,,,,BMCE Bank,,,cabin,,,,,,Islam,,1342.1400000000001,,,,,trunk_junction,,,,,,,,beacon,,,strait,,,MSF,,,,,,,,,,hifi,rugby_league,,,,,,,,,
,,,,mortuary,,,,Kobil,,,r1,,,,,,congregational,,1535,,,,,,,,,,,,,horsemill,,,scree,,,La Caixa,,,,,,,,,,home,gymnastics,,,,,,,,,
,,,,reprography,,,,YBP,,,college,,,,,,dutch_reformed,,2061.6799999999998,,,,,,,,,,,,,gasometer,,,trees,,,CCP,,,,,,,,,,optometrist,Pilates,,,,,,,,,
,,,,commercial,,,,Banque Populaire,,,refectory,,,,,,charismatic,,1440.1900000000001,,,,,,,,,,,,,statue,,,sandstone,,,Rodeste,,,,,,,,,,beautician,tennis;racquet,,,,,,,,,
,,,,studio,,,,Enacol,,,entrance,,,,,,protestant,,930,,,,,,,,,,,,,works,,,oasis,,,Groupe Farandole Internationale,,,,,,,,,,glaziery,billard,,,,,,,,,
,,,,bicycle_repair_station,,,,Toyota,,,commercial,,,,,,Baptist,,1933.8299999999999,,,,,,,,,,,,,cattle_chute,,,bare_rock,,,ONG Bel Avenir,,,,,,,,,,car_parts,"Futbol_Sala_Ajedrez,_Volibol,_Basket",,,,,,,,,
,,,,towels,,,,Petro,,,residential,,,,,,apostolic,,2540,,,,,,,,,,,,,surveillance,,,glacier,,,CFAO Motors Côte d'Ivoire,,,,,,,,,,food,chess,,,,,,,,,
,,,,construction,,,,Oilibya,,,construction,,,,,,kimbanguist,,2087.1599999999999,,,,,,,,,,,,,silo,,,hot_spring,,,Cash Ivoire,,,,,,,,,,bathroom_furnishing,paddle,,,,,,,,,
,,,,church,,,,Standard Bank,,,hut,,,,,,Catolica,,1383.47,,,,,,,,,,,,,windpump,,,vent,,,excel,,,,,,,,,,beverages,Futbol,,,,,,,,,
,,,,Prayer Ground,,,,Winxo,,,fence,,,,,,Asambleas de Dios,,4860,,,,,,,,,,,,,grave,,,palaeontological_site,,,Shosho,,,,,,,,,,crafts,beachvolleyball,,,,,,,,,
,,,,post_box,,,,Diesel,,,house,,,,,,católica,,1348,,,,,,,,,,,,,vinery,,,shoal,,,Medicine World Namibia,,,,,,,,,,Vetshop,running,,,,,,,,,
,,,,bureau_de_change,,,,FNB,,,warehouse,,,,,,Católica,,2480,,,,,,,,,,,,,windmill,,,rapids,,,Universidad de La Laguna,,,,,,,,,,hairdresser,pelota,,,,,,,,,
,,,,vending_machine,,,,Disa,,,greenhouse,,,,,,Iglesia,,1760,,,,,,,,,,,,,oil_tank,,,tree_row,,,Rose,,,,,,,,,,fabric,pilates,,,,,,,,,
,,,,wall_magazine,,,,MRS,,,church,,,,,,Batista,,3005,,,,,,,,,,,,,oil_well,,,cascade,,,SNCC,,,,,,,,,,clothing_accessories,snooker,,,,,,,,,
,,,,moto_rental,,,,Pétroci,,,ruin,,,,,,evangelica,,1951.6099999999999,,,,,,,,,,,,,wastewater_plant,,,springs,,,CSSI,,,,,,,,,,no,Tejo,,,,,,,,,
,,,,airline tickets,,,,Independent,,,Servicios Petroleros,,,,,,Cristã,,149,,,,,,,,,,,,,mineshaft,,,cabo,,,Ecole Primaire Gatumba IV,,,,,,,,,,interior_decoration,karate,,,,,,,,,
,,,,youth_club,,,,Wataneya Petroleum,,,supermarket,,,,,,neo-pentecostal,,75,,,,,,,,,,,,,water_tank,,,headland,,,BNP,,,,,,,,,,winery,boxing,,,,,,,,,
,,,,health,,,,Cepsa,,,stable,,,,,,Parroquia,,1998.24,,,,,,,,,,,,,earth_house,,,peninsula,,,Nakumatt,,,,,,,,,,wholesale,musculação,,,,,,,,,
,,,,no,,,,INOV,,,civic,,,,,,Evangélica,,60,,,,,,,,,,,,,chimney,,,grassland,,,Engen,,,,,,,,,,add-ons,Kite,,,,,,,,,
,,,,fitness_center,,,,Petron,,,elevator,,,,,,Catholic,,1860,,,,,,,,,,,,,distance_plate,,,pass,,,Banque de Tunisie,,,,,,,,,,video,Musculação,,,,,,,,,
,,,,winery,,,,Total,,,homestead,,,,,,Congregacionalista,,2960,,,,,,,,,,,,,catlle_chute,,,slope,,,CAMRAIL,,,,,,,,,,frame,Brazilian Jiu Jitsu,,,,,,,,,
,,,,Hotel,,,,TOTAL,,,no,,,,,,AIEE,,1979.49,,,,,,,,,,,,,water_tower,,,flatlands,,,Ecobank,,,,,,,,,,second_hand,trekking,,,,,,,,,
,,,,reststop,,,,OJK Oil,,,wayside_shrine,,,,,,Adventista,,359,,,,,,,,,,,,,pump,,,,,,BOA Madagascar,,,,,,,,,,luggage,baseball,,,,,,,,,
,,,,Le Choco,,,,Europcar,,,Sucesión de Leoncio Alvarez S.C,,,,,,spiritist,,191,,,,,,,,,,,,,lamp,,,,,,BP,,,,,,,,,,phone,dancing,,,,,,,,,
,,,,broadcasting station,,,,Puma,,,gazebo,,,,,,mennonite,,2022.27,,,,,,,,,,,,,mast,,,,,,FJKM,,,,,,,,,,books,futbol,,,,,,,,,
,,,,motorcycle_parking,,,,independent,,,Casa Cumunal El Rodeo,,,,,,Cristiana Evangelica,,984,,,,,,,,,,,,,water_wekk,,,,,,ACEP,,,,,,,,,,motorcycle,exercise,,,,,,,,,
,,,,school,,,,Naftal,,,barn,,,,,,evangelic,,2537,,,,,,,,,,,,,septic_tank,,,,,,NP,,,,,,,,,,wine,fishing,,,,,,,,,
,,,,reception_desk,,,,Station Shell,,,synagogue,,,,,,Luterana,,709,,,,,,,,,,,,,cross,,,,,,Tigo,,,,,,,,,,kitchen,surf,,,,,,,,,
,,,,workshop,,,,Agil,,,store,,,,,,,,223,,,,,,,,,,,,,light_tower,,,,,,التعاون,,,,,,,,,,curtain,Calistenia,,,,,,,,,
,,,,tavern,,,,Petro Gabon,,,,,,,,,,,5149,,,,,,,,,,,,,radio_communication,,,,,,SOTRACO,,,,,,,,,,spices,9pin,,,,,,,,,
,,,,restaurant,,,,Misr Petroleum,,,,,,,,,,,151,,,,,,,,,,,,,power,,,,,,OILIBYA,,,,,,,,,,money_lender,yoga,,,,,,,,,
,,,,dive_centre,,,,Oil Libya,,,,,,,,,,,2052.5500000000002,,,,,,,,,,,,,floodlight,,,,,,Attijariwafa Bank,,,,,,,,,,market,,,,,,,,,,
,,,,brothel,,,,Caldex,,,,,,,,,,,992,,,,,,,,,,,,,petroleum_well,,,,,,Muguta Secondary School,,,,,,,,,,Tissu,,,,,,,,,,
,,,,retail,,,,Petro Ivoire,,,,,,,,,,,750m,,,,,,,,,,,,,colector_de_lluvia,,,,,,Leo,,,,,,,,,,grossery,,,,,,,,,,
,,,,marketplace,,,,"Gasoline, Diesel",,,,,,,,,,,1894.9000000000001,,,,,,,,,,,,,dolphin,,,,,,KRC,,,,,,,,,,tatoo,,,,,,,,,,
,,,,veterinary,,,,Diamond trust Bank,,,,,,,,,,,641,,,,,,,,,,,,,street_cabinet,,,,,,CBO,,,,,,,,,,dive_centre,,,,,,,,,,
,,,,snack_bar,,,,Ford,,,,,,,,,,,1672.8299999999999,,,,,,,,,,,,,antenna_pad,,,,,,Tony nyang tek,,,,,,,,,,orthopedics,,,,,,,,,,
,,,,farm,,,,Crown,,,,,,,,,,,348,,,,,,,,,,,,,boundary_marker,,,,,,Deutsche Bank,,,,,,,,,,textiles,,,,,,,,,,
,,,,fast_food,,,,Staroil,,,,,,,,,,,2082.3499999999999,,,,,,,,,,,,,bunker_silo,,,,,,prive,,,,,,,,,,ceramics,,,,,,,,,,
,,,,money_transfer,,,,Tradex,,,,,,,,,,,651.42999999999995,,,,,,,,,,,,,dish,,,,,,Aeroportos Seguranca Aera (ASA),,,,,,,,,,insurance,,,,,,,,,,
,,,,Presses,,,,Mazda,,,,,,,,,,,1170,,,,,,,,,,,,,manhole,,,,,,Fidelity Bank,,,,,,,,,,cafe,,,,,,,,,,
,,,,planned,,,,OiLibya,,,,,,,,,,,1272,,,,,,,,,,,,,parabol,,,,,,Groupe Promotors Maupres,,,,,,,,,,retail,,,,,,,,,,
,,,,bus_station,,,,Access Bank,,,,,,,,,,,306,,,,,,,,,,,,,gantry,,,,,,Attijari Bank,,,,,,,,,,travel_agency,,,,,,,,,,
,,,,community_centre,,,,Nedbank,,,,,,,,,,,28,,,,,,,,,,,,,trig_point,,,,,,Shoprite,,,,,,,,,,confectionery,,,,,,,,,,
,,,,monastery,,,,Galp,,,,,,,,,,,678,,,,,,,,,,,,,gas_well,,,,,,Movistar,,,,,,,,,,art,,,,,,,,,,
,,,,theatre,,,,DACIA,,,,,,,,,,,841,,,,,,,,,,,,,pumping_rig,,,,,,steg,,,,,,,,,,bookmaker,,,,,,,,,,
,,,,Youth Group,,,,Gepetrol,,,,,,,,,,,323,,,,,,,,,,,,,offshore_platform,,,,,,Ewaat Secondary School,,,,,,,,,,farm,,,,,,,,,,
,,,,fish_spa,,,,Sasol,,,,,,,,,,,153,,,,,,,,,,,,,floating_storage,,,,,,Banca March,,,,,,,,,,hearing_aids,,,,,,,,,,
,,,,Market,,,,Excel,,,,,,,,,,,1514.6900000000001,,,,,,,,,,,,,man_hole,,,,,,Public Toilet,,,,,,,,,,computer,,,,,,,,,,
,,,,parking_entrance,,,,Oilybia,,,,,,,,,,,1565,,,,,,,,,,,,,radio masts,,,,,,ABSA,,,,,,,,,,general,,,,,,,,,,
,,,,club,,,,Renault,,,,,,,,,,,161.3000030517578,,,,,,,,,,,,,stockyard,,,,,,Caisse d'Epargne,,,,,,,,,,supermarket,,,,,,,,,,
,,,,estage_agent,,,,Ziz,,,,,,,,,,,991,,,,,,,,,,,,,,,,,,,SAPO,,,,,,,,,,tyres,,,,,,,,,,
,,,,"restaurant,bar",,,,Hertz,,,,,,,,,,,1630,,,,,,,,,,,,,,,,,,,UBCI,,,,,,,,,,crystal,,,,,,,,,,
,,,,ranger_station,,,,Continental,,,,,,,,,,,1m,,,,,,,,,,,,,,,,,,,Traditional pit latrine,,,,,,,,,,party_items,,,,,,,,,,
,,,,conference_centre,,,,SASOL,,,,,,,,,,,3120,,,,,,,,,,,,,,,,,,,CFU,,,,,,,,,,vacant,,,,,,,,,,
,,,,batiment,,,,Afriquia,,,,,,,,,,,1251.29,,,,,,,,,,,,,,,,,,,BMCI,,,,,,,,,,greengrocer,,,,,,,,,,
,,,,youth_centre,,,,Oil Congo,,,,,,,,,,,855,,,,,,,,,,,,,,,,,,,Poste,,,,,,,,,,courier,,,,,,,,,,
,,,,childcare,,,,Engen,,,,,,,,,,,529.81,,,,,,,,,,,,,,,,,,,Exel,,,,,,,,,,bakery,,,,,,,,,,
,,,,cyber_cafe,,,,Sonacop,,,,,,,,,,,1999.2,,,,,,,,,,,,,,,,,,,Algoa Bus,,,,,,,,,,boutique,,,,,,,,,,
,,,,charity,,,,Champion Oil,,,,,,,,,,,2127.5300000000002,,,,,,,,,,,,,,,,,,,NBC,,,,,,,,,,mobile,,,,,,,,,,
,,,,nightclub,,,,SNPC,,,,,,,,,,,1587.27,,,,,,,,,,,,,,,,,,,STB,,,,,,,,,,newsagent,,,,,,,,,,
,,,,clock,,,,SPL,,,,,,,,,,,1829,,,,,,,,,,,,,,,,,,,Marigat Water Treatment Station,,,,,,,,,,herbalist,,,,,,,,,,
,,,,waste_basket,,,,SKI,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,RTVGE,,,,,,,,,,toys,,,,,,,,,,
,,,,register_office,,,,VW,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,OPT,,,,,,,,,,dry_cleaning,,,,,,,,,,
